"﻿Paragraph",Name,Hinweise,VL
535,Inhalt und Hauptpflichten des Mietvertrages,"Vermieter muss Mieter Gebrauch der Sache erlauben, die Mietsache in ordentlichem Zustand überlassen. Vermieter muss für Pflege der Mietsache sorgen. (Bei Leasing: Mieter muss für Pflege sorgen)",3
536,Schadens- und Aufwendungsersatzanspruch des Mieters wegen eines Mangels,"Mieter kann Schadensersatz verlangen, wenn Vermieter Mängel nicht beseitigt; Bei Wohnungen z.B. auch Ersatzunterbringung (Hotel) inkl. Essen",8
543,Außerordentliche fristlose Kündigung aus wichtigem Grund,,8
549,Auf Wohnraummietverhältnisse anwendbare Vorschriften,,8
550,Form des Mietvertrags,"Schriftliche Form, sonst unbefristet aber mindestens ein Jahr bis zur Kündigung",8
598,Vertragstypische Pflichten bei der Leihe,,2
599,Haftung des Verleihers,Verleiher hat nur Vorsatz und grobe Fahrlässigkeit zu verantworten,2
618,Pflicht zu Schutzmaßnahmen (Dienst- und Werkvertrag),"Räume, Vorrichtungen und Gerätschaften müssen bereitgestellt werden; Notwendige Sorgfalt bei Arbeits- und Erholungszeiten; Schadensersatz bei Verletzung möglich",8
631,Werkvertrag,"Durch den Werkvertrag wird der Unternehmer zur Herstellung des versprochenen Werkes, der Besteller zur Entrichtung der vereinbarten Vergütung verpflichtet. (z.B. Feuerwehr oder Norarzt); ) Gegenstand des Werkvertrags kann sowohl die Herstellung oder Veränderung einer Sache als auch ein anderer durch Arbeit oder Dienstleistung herbeizuführender ERFOLG sein.",8
632,Vergütung (Werkvertrag),"Vergütung durch Vereinbarung, Stillschweigen oder vereinbarte Taxe.",8
633,Sach- und Rechtsmängel (Werkvertrag),Werk ist Sach- und Rechtsmängel frei zu verschaffen.; Ähnlich Kaufvertrag §434,8
634,Rechte des Bestellers bei Mängeln,Ähnlich zu Kaufvertrag; Selbstvornahme nach §637 auch möglich; Mängelbeseitigung UND Schadenersatz,8
641,Fälligkeit der Vergütung,"Vergütung bei Abnahme, such in Teilen möglich",8
642,Mitwirkung des Bestellers,"Wenn Mitwirkung des Bestellers unterlassen wird, kann Unternehmer Entschädigung verlangen.",8
644,Gefahrtragung,"Unternehmer trägt die Gefahr bis zur Abnahme des Werkes, außer Käufer besteht auf anderen Ort als Erfüllungsort",4
645,Verantwortlichkeit des Bestellers,"Wenn das Werk durch Mängel ausgehend vom Besteller nicht vollständig erfüllbar ist, kann der Unternehmer Auslagen zurück verlangen. Vertrag ist nicht erfüllbar für Unternehmer.",6
648,Kündigungsrecht des Bestellers,"Der Besteller kann bis zur Vollendung des Werkes jederzeit den Vertrag kündigen. Kündigt der Besteller, so ist der Unternehmer berechtigt, die vereinbarte Vergütung zu verlangen.",8
648a,Kündigung aus wichtigem Grund,"Beide Vertragsparteien können den Vertrag aus wichtigem Grudn ohen Einhaltung einer Kündigungsfrist kündigen. Ein wichtiger Grund liegt vor, wenn dem kündigenden Teil unter Berücksichtigung aller Umstände des Einzelfalls und unter Abwägung der beiderseitigen Interessen die Fortsetzung des Vertragsverhältnisses bis zur Fertigstellung des Werks nicht zugemutet werden kann.; Kündigt eine Vertragspartei aus wichtigem Grund, ist der Unternehmer nur berechtigt, die Vergütung zu verlangen, die auf den bis zur Kündigung erbrachten Teil des Werks entfällt.",8
649,Kostenanschlag,"Wird der Anschlag überschritten, muss das sofort verkündet werden.",8
650,Werklieferungsvertrag,Vertrag über die Lieferung herzustellender oder zu erzeugender beweglicher Sachen.,8
662,Vertragstypische Pflichten beim Auftrag,Beauftragte erfüllt Auftrag unentgeltlich,2
670,Ersatz von Aufwendungen,"Wenn der Beauftragte gesonderte Aufwendungen für die Erbringung der Leistung ausführen muss, kann er sie sich bezahlen lassen.",5
675,Entgeltliche Geschäftsbesorgung,Kein Schadensersatz bei gegebenem Rat,1
677,Pflichten des Geschäftsführers,Geschäftsführer = Beauftragter bei Beauftragung,2
678,Geschäftsführung gegen den Willen des Geschäftsherrn,"Beauftragter haftet, wenn er den (mutmaßlichen) Willen des Geschäftsherrn nicht umsetzt",2
679,Unbeachtlichkeit des entgegenstehendes Willens des Geschäftsherrn,"Ein Wille des Geschäftsherrn kommt nicht in Betracht, wenn er nicht im öffentlichen Interesse liegt",2
680,Geschäftsführung zur Gefahrabwehr,"Bezweckt die Geschäftsführung die Abwendung einer dem Geschäftsherrn drohenden dringenden Gefahr, so hat der Geschäftsführer nur Vorsatz und grobe Fahrlässigkeit zu vertreten.",6
688,Vertragstypische Pflichten bei der Verwahrung,"Verwahrer verpflichtet sich, Sache aufzubewahren",2
690,Haftung bei unentgelticher Verwahrung,"Verwahrer steht nur für die Sorgfalt ein, die er in eigenen Angelegenheiten anwendet",2
781,Schuldanerkenntnis,"Bei Verträgen, die das Bestehen eines Schuldverhältnisses voraussetzen, dann ist die schriftliche Ereteilung der Anerkennungserklärung erforderlich.",5
812,Herausgabeanspruch,"Herausgabe einer Sache ist verpflichtend, wenn Erlangen ohne rechtlichen Grund oder Wegfallen des rechtlichen Grunds",3
818,Umfang des Bereicherungsanspruchs,Herausgabe der Sache → Nicht mehr möglich ? Wert muss ersetzt werden,3
823,Schadensersatzpflicht,"Wer anderen vorsätzlich oder fahrlässig schadet, muss Schaden ersetzen",1
827,Ausschluss und Minderung der Verantwortlichkeit,Zustand der Bewusstlosigkeit oder krankhafte geistige Störung,6
828,Minderjährige,,1
831,Haftung für den Verrichtungsgehilfen,"Wer einen anderen zu einer Verrichtung bestellt, ist zum Ersatz des Schadens everpflcihtet, den der andere in Ausführung zufügt, außer er hat bei der Auswahl des anderen die nötige Sorgfalt ausgeübt.",6
832,Haftung des Aufsichtspflichtigen,,1
1923,Erbfähigkeit,,1
